      1,           0.,         -10.,          40.
      2,           0.,          -5.,          40.
      3,           0.,           0.,          40.
      4,           0.,           5.,          40.
      5,           0.,          10.,          40.
      6,           0.,         -10.,          35.
      7,           0.,          -5.,          35.
      8,           0.,           0.,          35.
      9,           0.,           5.,          35.
     10,           0.,          10.,          35.
     11,           0.,         -10.,          30.
     12,           0.,          -5.,          30.
     13,           0.,           0.,          30.
     14,           0.,           5.,          30.
     15,           0.,          10.,          30.
     16,           0.,         -10.,          25.
     17,           0.,          -5.,          25.
     18,           0.,           0.,          25.
     19,           0.,           5.,          25.
     20,           0.,          10.,          25.
     21,           0.,         -10.,          20.
     22,           0.,          -5.,          20.
     23,           0.,           0.,          20.
     24,           0.,           5.,          20.
     25,           0.,          10.,          20.
     26,           0.,         -10.,          15.
     27,           0.,          -5.,          15.
     28,           0.,           0.,          15.
     29,           0.,           5.,          15.
     30,           0.,          10.,          15.
     31,           0.,         -10.,          10.
     32,           0.,          -5.,          10.
     33,           0.,           0.,          10.
     34,           0.,           5.,          10.
     35,           0.,          10.,          10.
     36,           0.,         -10.,           5.
     37,           0.,          -5.,           5.
     38,           0.,           0.,           5.
     39,           0.,           5.,           5.
     40,           0.,          10.,           5.
     41,           0.,         -10.,           0.
     42,           0.,          -5.,           0.
     43,           0.,           0.,           0.
     44,           0.,           5.,           0.
     45,           0.,          10.,           0.
     46,           5.,         -10.,          40.
     47,           5.,          -5.,          40.
     48,           5.,           0.,          40.
     49,           5.,           5.,          40.
     50,           5.,          10.,          40.
     51,           5.,         -10.,          35.
     52,           5.,          -5.,          35.
     53,           5.,           0.,          35.
     54,           5.,           5.,          35.
     55,           5.,          10.,          35.
     56,           5.,         -10.,          30.
     57,           5.,          -5.,          30.
     58,           5.,           0.,          30.
     59,           5.,           5.,          30.
     60,           5.,          10.,          30.
     61,           5.,         -10.,          25.
     62,           5.,          -5.,          25.
     63,           5.,           0.,          25.
     64,           5.,           5.,          25.
     65,           5.,          10.,          25.
     66,           5.,         -10.,          20.
     67,           5.,          -5.,          20.
